Name,Plot,Entry,Rep,Location,Planting.date.date,Root Dry Weight (g),Shoot Dry Weight (g),Population (text),Shoot fresh weight (g),Root fresh weight (g),Nodule fresh weight (mg),Specific nodule dry weight (mg),Specific nodule fresh weight (mg),Nodule dry weight (mg),Number of nodules (count),Image ID1,Image ID2,Image ID3,Image ID4
LR 26-16,,10,1,,,0.0103,0.0016,LR-26,0.01,0.03,0,,,0,0,7174,,,
LR 26-16,,10,2,,,0.0041,0.0039,LR-26,0.01,0.06,0,,,0,0,7601,,,
LR 26-16,,10,3,,,0.0133,0.0177,LR-26,0.12,0.16,0,,,0,0,7387,,,
LR 26-161,,84,1,,,0.0552,0.0944,LR-26,0.58,0.73,25.6,0.1625,1.6,2.6,16,7248,,,
LR 26-161,,84,2,,,0.0072,0.015,LR-26,0.02,0.14,0,,,0,0,7675,,,
LR 26-161,,84,3,,,0.0663,0.1226,LR-26,0.63,0.89,70.3,0.325,2.1969,10.4,32,7461,,,
LR 26-162,,85,1,,,0.0174,0.0014,LR-26,0,0.31,0,,,0,0,7249,,,
LR 26-162,,85,2,,,0.009,0.0143,LR-26,0.02,0.11,0,,,0,0,7676,,,
LR 26-162,,85,3,,,0.012,0.0167,LR-26,0.1,0.15,1.1,0.04,0.22,0.2,5,7462,,,
LR 26-163,,86,1,,,0.0179,0,LR-26,0.01,0.06,0,,,0,0,7250,,,
LR 26-163,,86,2,,,0.007,0.0011,LR-26,0,0.06,0,,,0,0,7677,,,
LR 26-163,,86,3,,,0.0167,0.018,LR-26,0.13,0.23,3.8,0.04,0.76,0.2,5,7463,,,
LR 26-164,,87,1,,,,,LR-26,,,0,,,0,,7251,,,
LR 26-164,,87,2,,,,,LR-26,,,0,,,0,,7678,,,
LR 26-164,,87,3,,,0,0,LR-26,0,0,0,,,0,0,7464,,,
LR 26-165,,88,1,,,0.0389,0.0607,LR-26,0.3,0.51,45.2,0.35,2.5111,6.3,18,7252,,,
LR 26-165,,88,2,,,0.0441,0.0646,LR-26,0.36,0.5,22,0.31,2.2,3.1,10,7294,,,
LR 26-165,,88,3,,,0.008,0.0021,LR-26,0.01,0.04,0,,,0,0,7465,,,
LR 26-169,,89,1,,,0.0196,0.0154,LR-26,0.03,0.19,0,,,0,0,7253,,,
LR 26-169,,89,2,,,0.0257,0.0299,LR-26,0.15,0.29,10.9,0.2833,1.8167,1.7,6,7295,,,
LR 26-169,,89,3,,,0.0199,0.0321,LR-26,0.16,0.24,4.9,0.025,1.225,0.1,4,7466,,,
LR 26-17,,11,1,,,0.0074,0.0074,LR-26,0.04,0.09,0.5,0,0.25,0,2,7175,,,
LR 26-17,,11,2,,,0.0084,0.0073,LR-26,0.02,0.09,0,,,0,0,7602,,,
LR 26-17,,11,3,,,0.0186,0.0251,LR-26,0.12,0.23,11.4,0.175,1.425,1.4,8,7388,,,
LR 26-170,,90,1,,,0.0458,0.082,LR-26,0.38,0.4,31.2,0.2143,1.4857,4.5,21,7254,,,
LR 26-170,,90,2,,,0.0099,0.0019,LR-26,0.01,0.09,0,,,0,0,7296,,,
LR 26-170,,90,3,,,0.0122,0.0112,LR-26,0.02,0.1,0,,,0,0,7467,,,
LR 26-171,,91,1,,,0.0495,0.0617,LR-26,0.34,0.47,24.8,0.2,1.24,4,20,7255,,,
LR 26-171,,91,2,,,0.0111,0.0024,LR-26,0.01,0.03,0,,,0,0,7297,,,
LR 26-171,,91,3,,,0.0092,0.0015,LR-26,0.01,0.05,0,,,0,0,7468,,,
LR 26-172,,92,1,,,0.0121,0.0008,LR-26,0.01,0.07,0,,,0,0,7256,,,
LR 26-172,,92,2,,,0.0084,0.0014,LR-26,0,0.04,0,,,0,0,7298,,,
LR 26-172,,92,3,,,0.0309,0.0325,LR-26,0.17,0.4,18.5,0.45,3.0833,2.7,6,7469,,,
LR 26-173,,93,1,,,0.0443,0.0793,LR-26,0.37,0.36,32,0.27,1.6,5.4,20,7257,,,
LR 26-173,,93,2,,,0.0101,0.0013,LR-26,0.01,0.06,0,,,0,0,7299,,,
LR 26-173,,93,3,,,0.0384,0.0874,LR-26,0.48,0.45,50.5,0.3933,3.3667,5.9,15,7470,,,
LR 26-175,,94,1,,,0.045,0.0563,LR-26,0.3,0.52,277,0.2,13.1905,4.2,21,7258,,,
LR 26-175,,94,2,,,0.1348,0.1861,LR-26,1.07,1.62,81.6,0.2921,2.1474,11.1,38,7300,,,
LR 26-175,,94,3,,,0.127,0.1515,LR-26,0.88,1.53,64.6,0.1556,2.3926,4.2,27,7471,,,
LR 26-18,,12,1,,,0.0281,0.029,LR-26,0.18,0.38,11.5,0.13,1.15,1.3,10,7176,,,
LR 26-18,,12,2,,,0.0092,0.0107,LR-26,0.02,0.15,0,,,0,0,7603,,,
LR 26-18,,12,3,,,0.0577,0.0605,LR-26,0.3,0.69,19.7,0.3875,2.4625,3.1,8,7389,,,
LR 26-180,,95,1,,,0.0409,0.045,LR-26,0.27,0.47,20.5,0.1846,1.5769,2.4,13,7259,,,
LR 26-180,,95,2,,,0.0323,0.0351,LR-26,0.23,0.38,9.2,0.1143,1.3143,0.8,7,7301,,,
LR 26-180,,95,3,,,0.0357,0.0506,LR-26,0.26,0.46,19.7,0.2667,2.1889,2.4,9,7472,,,
LR 26-181,,96,1,,,0.0512,0.0576,LR-26,0.39,0.48,24.8,0.1611,1.3778,2.9,18,7260,,,
LR 26-181,,96,2,,,0.0142,0.0011,LR-26,0.01,0.05,0,,,0,0,7302,,,
LR 26-181,,96,3,,,0.0698,0.082,LR-26,0.45,0.85,301,0.35,25.0833,4.2,12,7473,,,
LR 26-182,,97,1,,,0.0799,0.0965,LR-26,0.47,0.85,45.2,0.166,0.9617,7.8,47,7261,,,
LR 26-182,,97,2,,,0.0144,0.0136,LR-26,0.09,0.14,0,,,0,0,7303,,,
LR 26-182,,97,3,,,0.0931,0.1159,LR-26,0.55,1.15,34.2,0.2706,2.0118,4.6,17,7474,,,
LR 26-183,,98,1,,,0.0104,0.0012,LR-26,0,0.02,0,,,0,0,7262,,,
LR 26-183,,98,2,,,0.0514,0.0487,LR-26,0.3,0.59,16.5,0.1333,1.1,2,15,7304,,,
LR 26-183,,98,3,,,0.1176,0.1457,LR-26,0.9,1.37,35.6,0.3308,2.7385,4.3,13,7475,,,
LR 26-184,,99,1,,,0.0827,0.0978,LR-26,0.54,0.72,39.5,0.2,1.197,6.6,33,7263,,,
LR 26-184,,99,2,,,0.0678,0.0612,LR-26,0.37,0.75,24.3,0.2375,1.5188,3.8,16,7305,,,
LR 26-184,,99,3,,,0.1423,0.237,LR-26,1.46,1.68,55,0.2125,1.7188,6.8,32,7476,,,
LR 26-186,,100,1,,,0.077,0.0939,LR-26,0.56,0.66,34.3,0.1677,1.1065,5.2,31,7264,,,
LR 26-186,,100,2,,,0.1287,0.1492,LR-26,1,1.84,66.7,0.2243,1.8027,8.3,37,7306,,,
LR 26-186,,100,3,,,0.0615,0.0631,LR-26,0.36,0.66,16.4,0.1467,1.0933,2.2,15,7477,,,
LR 26-187,,101,1,,,0.0738,0.0815,LR-26,0.39,0.67,34.7,0.1724,1.1966,5,29,7265,,,
LR 26-187,,101,2,,,0.0684,0.0633,LR-26,0.36,0.78,24.4,0.1125,1.0167,2.7,24,7307,,,
LR 26-187,,101,3,,,0.159,0.1724,LR-26,0.84,1.63,38.6,0.55,3.2167,6.6,12,7478,,,
LR 26-188,,102,1,,,,,LR-26,,,0,,,0,,7266,,,
LR 26-188,,102,2,,,,,LR-26,,,0,,,0,,7308,,,
LR 26-188,,102,3,,,0,0,LR-26,0,0,0,,,0,0,7479,,,
LR 26-19,,13,1,,,0.0839,0.1375,LR-26,0.75,1.3,72.3,0.3161,2.3323,9.8,31,7177,,,
LR 26-19,,13,2,,,0.0068,0.0102,LR-26,0.02,0.13,0,,,0,0,7604,,,
LR 26-19,,13,3,,,0.1211,0.1692,LR-26,0.87,1.4,54.7,0.5,3.0389,9,18,7390,,,
LR 26-193,,103,1,,,0.0258,0.0331,LR-26,0.16,0.31,10,0.24,2,1.2,5,7267,,,
LR 26-193,,103,2,,,0.0303,0.0313,LR-26,0.18,0.29,16,0.3,2,2.4,8,7309,,,
LR 26-193,,103,3,,,0.0125,0.0025,LR-26,0,0.04,0,,,0,0,7480,,,
LR 26-194,,104,1,,,0.0784,0.1127,LR-26,0.49,1.17,45.1,0.4444,2.5056,8,18,7268,,,
LR 26-194,,104,2,,,0.0096,0.0005,LR-26,0.01,0.04,0,,,0,0,7310,,,
LR 26-194,,104,3,,,0.0282,0.0422,LR-26,0.17,0.36,14.8,0.2444,1.6444,2.2,9,7481,,,
LR 26-196,,105,1,,,0.0445,0.0584,LR-26,0.28,0.43,25.1,0.1414,0.8655,4.1,29,7269,,,
LR 26-196,,105,2,,,0.0769,0.0825,LR-26,0.48,0.6,32.3,0.1885,1.2423,4.9,26,7311,,,
LR 26-196,,105,3,,,0.0099,0.0081,LR-26,0.01,0.06,0,,,0,0,7482,,,
LR 26-198,,106,1,,,0.0893,0.1065,LR-26,0.59,1.16,44.4,0.145,1.11,5.8,40,7270,,,
LR 26-198,,106,2,,,0.1319,0.1285,LR-26,0.84,0.97,37.3,0.2038,1.4346,5.3,26,7312,,,
LR 26-198,,106,3,,,0.1906,0.29,LR-26,1.49,2.08,115.9,0.2246,1.6797,15.5,69,7483,,,
LR 26-20,,14,1,,,0.0559,0.0625,LR-26,0.37,0.87,15.7,0.2167,1.3083,2.6,12,7178,,,
LR 26-20,,14,2,,,0.011,0.0145,LR-26,0.02,0.23,0,,,0,0,7605,,,
LR 26-20,,14,3,,,0.0639,0.0744,LR-26,0.33,0.68,22.7,0.1474,1.1947,2.8,19,7391,,,
LR 26-200,,107,1,,,0.071,0.1286,LR-26,0.56,1.01,56.8,0.4636,2.5818,10.2,22,7271,,,
LR 26-200,,107,2,,,0.0575,0.0677,LR-26,0.41,0.54,35.2,0.4429,2.5143,6.2,14,7313,,,
LR 26-200,,107,3,,,0.0796,0.1328,LR-26,0.61,0.9,64.4,0.7278,3.5778,13.1,18,7484,,,
LR 26-202,,108,1,,,0.0523,0.0696,LR-26,0.48,0.65,32.5,0.1464,1.1607,4.1,28,7272,,,
LR 26-202,,108,2,,,0.0511,0.0379,LR-26,0.27,0.46,13.5,0.1857,1.9286,1.3,7,7314,,,
LR 26-202,,108,3,,,0.1244,0.1348,LR-26,0.68,1.37,64.6,0.2021,1.3458,9.7,48,7485,,,
LR 26-203,,109,1,,,0.1111,0.2003,LR-26,1.16,1.57,101.5,0.2764,1.8455,15.2,55,7273,,,
LR 26-203,,109,2,,,0.1301,0.2014,LR-26,1.07,1.53,58.8,0.45,2.6727,9.9,22,7315,,,
LR 26-203,,109,3,,,0.0863,0.1181,LR-26,0.65,0.85,52.6,0.2828,1.8138,8.2,29,7486,,,
LR 26-204,,110,1,,,0.0086,0.0001,LR-26,0,0.01,0,,,0,0,7274,,,
LR 26-204,,110,2,,,0.0747,0.0898,LR-26,0.5,0.83,38.5,0.4571,2.75,6.4,14,7316,,,
LR 26-204,,110,3,,,0.0687,0.088,LR-26,0.59,0.74,34.1,0.3833,2.8417,4.6,12,7487,,,
LR 26-205,,111,1,,,0.0051,0.0054,LR-26,0.05,0.06,0,,,0,0,7275,,,
LR 26-205,,111,2,,,0.0232,0.0251,LR-26,0.13,0.21,4.2,0.2,1.4,0.6,3,7317,,,
LR 26-205,,111,3,,,0.0353,0.0582,LR-26,0.29,0.39,24.2,0.6,4.0333,3.6,6,7488,,,
LR 26-206,,112,1,,,0.0532,0.0656,LR-26,0.31,0.63,32.2,0.3278,1.7889,5.9,18,7276,,,
LR 26-206,,112,2,,,0.0877,0.1014,LR-26,0.54,0.95,19.1,0.3,2.3875,2.4,8,7318,,,
LR 26-206,,112,3,,,0.1288,0.1385,LR-26,0.79,1.49,47.7,0.4875,2.9813,7.8,16,7489,,,
LR 26-209,,113,1,,,0.027,0.0331,LR-26,0.14,0.31,11.3,0.1,1.13,1,10,7277,,,
LR 26-209,,113,2,,,0.0295,0.0293,LR-26,0.12,0.28,6.3,0.22,1.26,1.1,5,7319,,,
LR 26-209,,113,3,,,0.0107,0.0104,LR-26,0.08,0.12,0,,,0,0,7490,,,
LR 26-210,,114,1,,,0.0315,0.0281,LR-26,0.15,0.38,10.1,0.32,2.02,1.6,5,7278,,,
LR 26-210,,114,2,,,0.0262,0.0198,LR-26,0.11,0.24,7.3,0.225,1.825,0.9,4,7320,,,
LR 26-210,,114,3,,,0.022,0.0296,LR-26,0.18,0.24,13.8,0.1571,1.9714,1.1,7,7491,,,
LR 26-215,,115,1,,,0.043,0.0888,LR-26,0.41,0.58,25.2,0.3071,1.8,4.3,14,7279,,,
LR 26-215,,115,2,,,0.0438,0.083,LR-26,0.28,0.58,9.3,0.6,4.65,1.2,2,7321,,,
LR 26-215,,115,3,,,0.0852,0.1463,LR-26,0.72,0.94,11.9,0.2,1.9833,1.2,6,7492,,,
LR 26-216,,116,1,,,0.0466,0.0452,LR-26,0.22,0.52,15.4,0.5333,5.1333,1.6,3,7280,,,
LR 26-216,,116,2,,,0.1084,0.1227,LR-26,0.58,1.17,11.8,0.3667,1.9667,2.2,6,7322,,,
LR 26-216,,116,3,,,0.1154,0.1233,LR-26,0.58,1.24,35.3,0.3563,2.2063,5.7,16,7493,,,
LR 26-219,,117,1,,,0.0102,0.0015,LR-26,0,0.02,0,,,0,0,7281,,,
LR 26-219,,117,2,,,0.1255,0.139,LR-26,0.64,1.44,42.7,0.3063,2.6688,4.9,16,7323,,,
LR 26-219,,117,3,,,0.0732,0.0765,LR-26,0.49,1.11,25.4,0.2154,1.9538,2.8,13,7494,,,
LR 26-22,,15,1,,,0.0272,0.0357,LR-26,0.19,0.4,18,0.26,1.8,2.6,10,7179,,,
LR 26-22,,15,2,,,0.0051,0.0071,LR-26,0.02,0.09,0,,,0,0,7606,,,
LR 26-22,,15,3,,,0.0432,0.0302,LR-26,0.14,0.46,14,0.2125,1.75,1.7,8,7392,,,
LR 26-220,,118,1,,,0.0609,0.081,LR-26,0.39,0.84,10.8,0.275,2.7,1.1,4,7282,,,
LR 26-220,,118,2,,,0.0713,0.0857,LR-26,0.51,0.83,5.5,0.12,1.1,0.6,5,7324,,,
LR 26-220,,118,3,,,0.0716,0.0769,LR-26,0.44,0.78,18.4,0.54,3.68,2.7,5,7495,,,
