Name,Plot,Entry,Rep,Location,Planting.date.date,Root Dry Weight (g),Shoot Dry Weight (g),Population (text),Shoot fresh weight (g),Root fresh weight (g),Nodule fresh weight (mg),Specific nodule dry weight (mg),Specific nodule fresh weight (mg),Nodule dry weight (mg),Number of nodules (count),Image ID1,Image ID2,Image ID3,Image ID4
LR 26-75,,37,3,,,0.014,0.0109,LR-26,0.06,0.17,0,,,0,0,7414,,,
LR 26-77,,38,1,,,0.0682,0.1095,LR-26,0.56,1.13,27.3,0.24,1.82,3.6,15,7202,,,
LR 26-77,,38,2,,,0.0128,0.0149,LR-26,0.03,0.22,0,,,0,0,7629,,,
LR 26-77,,38,3,,,0.1599,0.2811,LR-26,1.36,1.95,135,0.2875,1.875,20.7,72,7415,,,
LR 26-78,,39,1,,,0.034,0.0523,LR-26,0.25,0.43,13.1,0.2571,1.8714,1.8,7,7203,,,
LR 26-78,,39,2,,,0.0096,0.0008,LR-26,0,0.05,0,,,0,0,7630,,,
LR 26-78,,39,3,,,0.0379,0.0731,LR-26,0.31,0.37,23.2,0.1727,1.0545,3.8,22,7416,,,
LR 26-79,,40,1,,,0.0093,0.013,LR-26,0.07,0.13,2.1,0.1,0.525,0.4,4,7204,,,
LR 26-79,,40,2,,,0.0049,0.001,LR-26,0,0.02,0,,,0,0,7631,,,
LR 26-79,,40,3,,,0.0244,0.03,LR-26,0.14,0.29,20.2,0.087,0.8783,2,23,7417,,,
LR 26-83,,41,1,,,0.0281,0.0413,LR-26,0.21,0.37,5.2,0.0714,0.7429,0.5,7,7205,,,
LR 26-83,,41,2,,,0.0052,0.0066,LR-26,0.01,0.07,0,,,0,0,7632,,,
LR 26-83,,41,3,,,0.0302,0.0648,LR-26,0.38,0.42,42.8,0.1114,1.2229,3.9,35,7418,,,
LR 26-84,,42,1,,,0.0613,0.0888,LR-26,0.45,0.81,35.6,0.3647,2.0941,6.2,17,7206,,,
LR 26-84,,42,2,,,0.0082,0.0087,LR-26,0.03,0.14,0,,,0,0,7633,,,
LR 26-84,,42,3,,,0.0808,0.1175,LR-26,0.55,0.96,51.9,0.2,1.5265,6.8,34,7419,,,
LR 26-85,,43,1,,,0.0411,0.0549,LR-26,0.25,0.46,16.4,0.4,1.8222,3.6,9,7207,,,
LR 26-85,,43,2,,,0.0103,0.0003,LR-26,0,0.03,0,,,0,0,7634,,,
LR 26-85,,43,3,,,0.0273,0.0269,LR-26,0.13,0.25,5.1,0.0833,0.85,0.5,6,7420,,,
LR 26-86,,44,1,,,0.0111,0.0151,LR-26,0.04,0.2,0,,,0,0,7208,,,
LR 26-86,,44,2,,,0.0071,0.007,LR-26,0.02,0.08,0,,,0,0,7635,,,
LR 26-86,,44,3,,,0.052,0.1007,LR-26,0.4,0.55,33.2,0.2765,1.9529,4.7,17,7421,,,
LR 26-90,,45,1,,,0.0083,0.011,LR-26,0.03,0.16,0,,,0,0,7209,,,
LR 26-90,,45,2,,,0.0115,0.008,LR-26,0.01,0.12,0,,,0,0,7636,,,
LR 26-90,,45,3,,,0.011,0.0304,LR-26,0.17,0.37,92,0.25,15.3333,1.5,6,7422,,,
LR 26-91,,46,1,,,0.0125,0.0184,LR-26,0.13,0.17,7.8,0.16,1.56,0.8,5,7210,,,
LR 26-91,,46,2,,,0.0069,0.005,LR-26,0.01,0.06,0,,,0,0,7637,,,
LR 26-91,,46,3,,,0.0151,0.0244,LR-26,0.15,0.19,11.3,0.45,2.825,1.8,4,7423,,,
LR 26-95,,47,1,,,0.0058,0.0061,LR-26,0.01,0.01,0,,,0,0,7211,,,
LR 26-95,,47,2,,,0.0015,0.0057,LR-26,0.01,0.04,0,,,0,0,7638,,,
LR 26-95,,47,3,,,0.0133,0.0155,LR-26,0.08,0.17,8.7,0.1125,1.0875,0.9,8,7424,,,
LR 26-98,,48,1,,,,,LR-26,,,0,,,0,,7212,,,
LR 26-98,,48,2,,,,,LR-26,,,0,,,0,,7639,,,
LR 26-98,,48,3,,,,,LR-26,,,0,,,0,,7425,,,
LR 26-99,,49,1,,,0.0116,0.0108,LR-26,0.02,0.17,0,,,0,0,7213,,,
LR 26-99,,49,2,,,0.0116,0,LR-26,0,0.08,0,,,0,0,7640,,,
LR 26-99,,49,3,,,0.0478,0.0429,LR-26,0.29,0.48,17.1,0.225,2.1375,1.8,8,7426,,,
3339-3,NA,2,2,Phytotron,6/1/2020,0.0547,0.0871,LR-68,0.41,0.72,0.0493,0.256,1.972,6.4,25,Unclear,,,
3339-3,NA,2,3,Phytotron,6/1/2020,0.2111,0.4193,LR-68,1.96,3.59,0.5272,0.74,5.73,68.08,92,Unclear,,,
3339-3,NA,2,4,Phytotron,6/1/2020,0.2549,0.5706,LR-68,2.52,4.57,0.6776,0.65,4.235,104,160,Unclear,,,
IG 72643,NA,1,2,Phytotron,6/1/2020,0.0212,0.0281,LR-68,0.11,0.24,0.0193,0.1187,1.2063,1.9,16,Unclear,,,
IG 72643,NA,1,3,Phytotron,6/1/2020,0.0378,0.0718,LR-68,0.28,0.52,0.0558,0.56,3.72,8.4,15,Unclear,,,
IG 72643,NA,1,4,Phytotron,6/1/2020,0.036,0.0686,LR-68,0.28,0.46,0.0372,0.4273,3.3818,4.7,11,Unclear,,,
LR-68-100,NA,48,2,Phytotron,6/1/2020,0.0398,0.0524,LR-68,0.24,0.55,0.0206,0.2062,1.2875,3.3,16,Unclear,,,
LR-68-100,NA,48,3,Phytotron,6/1/2020,0.0552,0.0521,LR-68,0.27,0.79,0.0529,0.125,1.5125,4.38,35,Unclear,,,
LR-68-100,NA,48,4,Phytotron,6/1/2020,0.1262,0.145,LR-68,0.64,1.26,0.0815,0.3,2.0367,12,40,Unclear,,,
LR-68-102,NA,49,2,Phytotron,6/1/2020,0.0386,0.0573,LR-68,0.29,0.53,0.0321,0.3133,2.14,4.7,15,Unclear,,,
LR-68-102,NA,49,3,Phytotron,6/1/2020,0.0658,0.0968,LR-68,0.48,0.98,0.0821,0.3583,3.0417,9.67,27,Unclear,,,
LR-68-102,NA,49,4,Phytotron,6/1/2020,0.0516,0.0736,LR-68,0.39,0.62,0.0443,0.2,1.64,5.4,27,Unclear,,,
LR-68-104,NA,50,2,Phytotron,6/1/2020,0.0515,0.0853,LR-68,0.43,0.67,0.0509,0.3579,2.6789,6.8,19,Unclear,,,
LR-68-104,NA,50,3,Phytotron,6/1/2020,0.0299,0.037,LR-68,0.2,0.43,0.0224,0.1,1.87,1.2,12,Unclear,,,
LR-68-104,NA,50,4,Phytotron,6/1/2020,0.0732,0.0862,LR-68,0.41,0.86,0.0671,0.3529,2.6824,8.82,25,Unclear,,,
LR-68-105,NA,51,2,Phytotron,6/1/2020,0.0509,0.0771,LR-68,0.36,0.51,0.0305,0.2444,1.6944,4.4,18,Unclear,,,
LR-68-105,NA,51,3,Phytotron,6/1/2020,0.0639,0.0797,LR-68,0.4,0.82,0.072,0.1667,2,6,36,Unclear,,,
LR-68-105,NA,51,4,Phytotron,6/1/2020,0.1163,0.1569,LR-68,0.71,1.44,0.1243,0.3367,2.1067,19.86,59,Unclear,,,
LR-68-107,NA,52,2,Phytotron,6/1/2020,0.0195,0.0356,LR-68,0.16,0.25,0.0112,0.3429,1.6,2.4,7,Unclear,,,
LR-68-107,NA,52,3,Phytotron,6/1/2020,0.0446,0.0463,LR-68,0.24,0.57,0.0443,0.1,1.3857,3.2,32,Unclear,,,
LR-68-107,NA,52,4,Phytotron,6/1/2020,0.0477,0.0491,LR-68,0.23,0.55,0.0222,0.31,2.22,3.1,10,Unclear,,,
LR-68-108,NA,53,2,Phytotron,6/1/2020,0.0281,0.0321,LR-68,0.16,0.32,0.0191,0.2615,1.4692,3.4,13,Unclear,,,
LR-68-108,NA,53,3,Phytotron,6/1/2020,0.0571,0.0514,LR-68,0.26,0.66,0.0362,0.1312,1.6438,2.89,22,Unclear,,,
LR-68-108,NA,53,4,Phytotron,6/1/2020,0.0434,0.0413,LR-68,0.21,0.05,0.0352,0.02,2.2,0.32,16,Unclear,,,
LR-68-109,NA,54,2,Phytotron,6/1/2020,0.0291,0.0519,LR-68,0.23,0.32,0.0271,0.2933,1.8067,4.4,15,Unclear,,,
LR-68-109,NA,54,3,Phytotron,6/1/2020,0.0945,0.1207,LR-68,0.53,1.1,0.568,0.3875,35.5,6.2,16,Unclear,,,
LR-68-109,NA,54,4,Phytotron,6/1/2020,0.098,0.1816,LR-68,0.73,0.97,0.0856,0.528,3.056,14.78,28,Unclear,,,
LR-68-112,NA,55,2,Phytotron,6/1/2020,0.0421,0.0634,LR-68,0.27,0.47,0.0351,0.3368,1.8474,6.4,19,Unclear,,,
LR-68-112,NA,55,3,Phytotron,6/1/2020,0.0533,0.0567,LR-68,0.29,0.61,0.0332,0.1778,1.8444,3.2,18,Unclear,,,
LR-68-112,NA,55,4,Phytotron,6/1/2020,0.0997,0.1345,LR-68,0.73,1.24,0.0926,0.4633,3.0867,13.9,30,Unclear,,,
LR-68-113,NA,56,2,Phytotron,6/1/2020,0.0695,0.1201,LR-68,0.49,0.96,0.0691,0.392,2.764,9.8,25,Unclear,,,
LR-68-113,NA,56,3,Phytotron,6/1/2020,0.0619,0.0884,LR-68,0.42,0.78,0.0689,0.425,4.3083,6.8,16,Unclear,,,
LR-68-113,NA,56,4,Phytotron,6/1/2020,0.1769,0.3274,LR-68,1.42,1.95,0.2182,0.725,4.365,36.25,50,Unclear,,,
LR-68-114,NA,57,2,Phytotron,6/1/2020,0.0272,0.0487,LR-68,0.23,0.37,0.0157,0.27,1.57,2.7,10,Unclear,,,
LR-68-114,NA,57,3,Phytotron,6/1/2020,0.0543,0.0984,LR-68,0.41,0.64,0.065,0.2417,2.6,6.04,25,Unclear,,,
LR-68-114,NA,57,4,Phytotron,6/1/2020,0.0627,0.0757,LR-68,0.33,0.66,0.0385,0.3222,2.1389,5.8,18,Unclear,,,
LR-68-116,NA,58,2,Phytotron,6/1/2020,0.0382,0.053,LR-68,0.22,0.46,0.0197,0.2667,1.6417,3.2,12,Unclear,,,
LR-68-116,NA,58,3,Phytotron,6/1/2020,0.064,0.0704,LR-68,0.36,0.8,0.0388,0.1667,2.0417,3.17,19,Unclear,,,
LR-68-116,NA,58,4,Phytotron,6/1/2020,0.0685,0.1015,LR-68,0.46,0.82,0.0561,0.35,2.1583,9.1,26,Unclear,,,
LR-68-117,NA,59,2,Phytotron,6/1/2020,0.0351,0.0617,LR-68,0.28,0.53,0.0284,0.205,1.42,4.1,20,Unclear,,,
LR-68-117,NA,59,3,Phytotron,6/1/2020,0.1123,0.2289,LR-68,0.94,1.39,0.1143,0.4563,3.6875,14.14,31,Unclear,,,
LR-68-117,NA,59,4,Phytotron,6/1/2020,0.1213,0.2705,LR-68,1.1,1.27,0.1423,0.5143,3.4714,21.09,41,Unclear,,,
LR-68-119,NA,60,2,Phytotron,6/1/2020,0.0486,0.054,LR-68,0.23,0.63,0.0215,0.3,1.7917,3.6,12,Unclear,,,
LR-68-119,NA,60,3,Phytotron,6/1/2020,0.0743,0.0864,LR-68,0.38,0.95,0.0446,0.325,2.7875,5.2,16,Unclear,,,
LR-68-119,NA,60,4,Phytotron,6/1/2020,0.0332,0.0348,LR-68,0.16,0.37,0.0164,0.2,1.26,2.6,13,Unclear,,,
LR-68-12,NA,9,2,Phytotron,6/1/2020,0.0243,0.0345,LR-68,0.19,0.36,0.0143,0.1467,0.9533,2.2,15,Unclear,,,
LR-68-12,NA,9,3,Phytotron,6/1/2020,0.1138,0.1363,LR-68,0.57,1.35,0.0525,0.2714,2.1857,6.51,24,Unclear,,,
LR-68-12,NA,9,4,Phytotron,6/1/2020,0.0828,0.1331,LR-68,0.59,1.23,0.0779,0.19,1.4433,10.26,54,Unclear,,,
LR-68-124,NA,61,2,Phytotron,6/1/2020,0.0351,0.0559,LR-68,0.25,0.46,0.0259,0.2105,1.3632,4,19,Unclear,,,
LR-68-124,NA,61,3,Phytotron,6/1/2020,0.0472,0.0828,LR-68,0.35,0.64,0.0485,0.195,1.865,5.07,26,Unclear,,,
LR-68-124,NA,61,4,Phytotron,6/1/2020,0.0416,0.0494,LR-68,0.2,0.47,0.0366,0.16,1.045,5.6,35,Unclear,,,
LR-68-125,NA,62,2,Phytotron,6/1/2020,0.045,0.0573,LR-68,0.23,0.63,0.0225,0.34,2.25,3.4,10,Unclear,,,
LR-68-125,NA,62,3,Phytotron,6/1/2020,0.0572,0.0353,LR-68,0.16,0.72,0.0282,0.0667,1.5667,1.2,18,Unclear,,,
LR-68-125,NA,62,4,Phytotron,6/1/2020,0.063,0.0704,LR-68,0.32,0.82,0.0579,0.2214,1.4857,8.64,39,Unclear,,,
LR-68-129,NA,63,2,Phytotron,6/1/2020,0.0189,0.0183,LR-68,0.05,0.18,0.0109,0.2,1.09,2,10,Unclear,,,
LR-68-129,NA,63,3,Phytotron,6/1/2020,0.0379,0.0357,LR-68,0.16,0.42,0.024,0.125,1.5,2,16,Unclear,,,
LR-68-129,NA,63,4,Phytotron,6/1/2020,0.0348,0.0347,LR-68,0.13,0.38,0.0247,0.1333,1.175,2.8,21,Unclear,,,
LR-68-131,NA,64,2,Phytotron,6/1/2020,0.0404,0.048,LR-68,0.18,0.41,0.0207,0.2133,1.38,3.2,15,Unclear,,,
LR-68-131,NA,64,3,Phytotron,6/1/2020,0.0749,0.0702,LR-68,0.31,0.92,0.0508,0.35,2.82,6.3,18,Unclear,,,
LR-68-131,NA,64,4,Phytotron,6/1/2020,0.067,0.0676,LR-68,0.32,0.79,0.0682,0.265,1.895,9.54,36,Unclear,,,
LR-68-132,NA,65,2,Phytotron,6/1/2020,0.0386,0.0438,LR-68,0.14,0.33,0.0217,0.2375,1.3562,3.8,16,Unclear,,,
LR-68-132,NA,65,3,Phytotron,6/1/2020,0.0424,0.0492,LR-68,0.24,0.53,0.042,0.2,1.825,4.6,23,Unclear,,,
LR-68-132,NA,65,4,Phytotron,6/1/2020,0.0482,0.0387,LR-68,0.2,0.52,0.0299,0.2286,1.5714,4.34,19,Unclear,,,
LR-68-135,NA,66,2,Phytotron,6/1/2020,0.0563,0.0705,LR-68,0.25,0.56,0.0232,0.35,1.9333,4.2,12,Unclear,,,
LR-68-135,NA,66,3,Phytotron,6/1/2020,0.0919,0.1361,LR-68,0.63,1.25,0.131,0.76,5.24,19,25,Unclear,,,
LR-68-135,NA,66,4,Phytotron,6/1/2020,0.0858,0.1297,LR-68,0.61,1.04,0.0946,0.45,2.425,17.55,39,Unclear,,,
LR-68-137,NA,67,2,Phytotron,6/1/2020,0.0332,0.0446,LR-68,0.18,0.38,0.0281,0.19,1.405,3.8,20,Unclear,,,
LR-68-137,NA,67,3,Phytotron,6/1/2020,0.053,0.0648,LR-68,0.31,0.69,0.3944,0.3857,35.8571,4.24,11,Unclear,,,
LR-68-137,NA,67,4,Phytotron,6/1/2020,0.0625,0.0781,LR-68,0.33,0.72,0.052,0.4333,2.475,9.1,21,Unclear,,,
LR-68-139,NA,68,2,Phytotron,6/1/2020,0.0521,0.0523,LR-68,0.18,0.56,0.0159,0.2,1.1357,2.8,14,Unclear,,,
LR-68-139,NA,68,3,Phytotron,6/1/2020,0.0517,0.058,LR-68,0.26,0.66,0.0337,0.3385,2.4077,4.74,14,Unclear,,,
LR-68-139,NA,68,4,Phytotron,6/1/2020,0.05,0.0543,LR-68,0.23,0.6,0.0305,0.3143,1.9071,5.03,16,Unclear,,,
LR-68-140,NA,69,2,Phytotron,6/1/2020,0.0452,0.0675,LR-68,0.25,0.55,0.021,0.2,1.1667,3.6,18,Unclear,,,
LR-68-140,NA,69,3,Phytotron,6/1/2020,0.0739,0.0966,LR-68,0.42,0.93,0.0542,0.2,2.0062,5.4,27,Unclear,,,
LR-68-140,NA,69,4,Phytotron,6/1/2020,0.0611,0.0662,LR-68,0.31,0.84,0.0606,0.295,1.895,9.44,32,Unclear,,,
LR-68-143,NA,70,2,Phytotron,6/1/2020,0.0478,0.0567,LR-68,0.21,0.6,0.0168,0.22,1.12,3.3,15,Unclear,,,
LR-68-143,NA,70,3,Phytotron,6/1/2020,0.0836,0.1035,LR-68,0.5,1.2,0.0833,0.26,2.25,9.62,37,Unclear,,,
LR-68-143,NA,70,4,Phytotron,6/1/2020,0.1166,0.1758,LR-68,0.83,1.85,0.163,0.43,2.91,24.08,56,Unclear,,,
LR-68-144,NA,71,2,Phytotron,6/1/2020,0.0282,0.0477,LR-68,0.18,0.33,0.011,0.1667,0.9167,2,12,Unclear,,,
LR-68-144,NA,71,3,Phytotron,6/1/2020,0.0545,0.0921,LR-68,0.44,0.76,0.062,0.3167,2.3833,8.23,26,Unclear,,,
LR-68-144,NA,71,4,Phytotron,6/1/2020,0.0527,0.1039,LR-68,0.48,0.72,0.0783,0.295,1.865,12.39,42,Unclear,,,
LR-68-148,NA,72,2,Phytotron,6/1/2020,0.0453,0.0643,LR-68,0.22,0.57,0.0266,0.47,2.66,4.7,10,Unclear,,,
LR-68-148,NA,72,3,Phytotron,6/1/2020,0.0813,0.093,LR-68,0.4,1.03,0.0365,0.4333,3.0417,5.2,12,Unclear,,,
LR-68-148,NA,72,4,Phytotron,6/1/2020,0.0913,0.126,LR-68,0.54,1.23,0.0562,0.4562,2.9563,8.67,19,Unclear,,,
LR-68-149,NA,73,2,Phytotron,6/1/2020,0.0308,0.0458,LR-68,0.17,0.37,0.0284,0.35,2.3667,4.2,12,Unclear,,,
LR-68-149,NA,73,3,Phytotron,6/1/2020,0.0419,0.056,LR-68,0.27,0.65,0.0384,0.225,2.4,3.6,16,Unclear,,,
LR-68-149,NA,73,4,Phytotron,6/1/2020,0.0622,0.0869,LR-68,0.42,0.82,0.0741,0.375,2.7437,10.12,27,Unclear,,,
LR-68-150,NA,74,2,Phytotron,6/1/2020,0.029,0.0419,LR-68,0.15,0.32,0.018,0.31,1.8,3.1,10,Unclear,,,
LR-68-150,NA,74,3,Phytotron,6/1/2020,0.02,0.0206,LR-68,0.11,0.25,0.0058,0.4,5.8,0.4,1,Unclear,,,
LR-68-150,NA,74,4,Phytotron,6/1/2020,0.0479,0.05,LR-68,0.24,0.66,0.0351,0.2437,1.7563,4.88,20,Unclear,,,
LR-68-151,NA,75,2,Phytotron,6/1/2020,0.0295,0.0461,LR-68,0.1,0.13,0.0185,0.4125,2.3125,3.3,8,Unclear,,,
LR-68-151,NA,75,3,Phytotron,6/1/2020,0.0478,0.0532,LR-68,0.24,0.66,0.0486,0.2625,2.025,6.3,24,Unclear,,,
LR-68-151,NA,75,4,Phytotron,6/1/2020,0.0416,0.0485,LR-68,0.22,0.55,0.0328,0.31,2.05,4.96,16,Unclear,,,
LR-68-152,NA,76,2,Phytotron,6/1/2020,0.0047,0.0093,LR-68,0.06,0.04,0,0.2,1.12,0,11,Unclear,,,
LR-68-152,NA,76,3,Phytotron,6/1/2020,0.0321,0.0385,LR-68,0.17,0.4,0.0224,0.2,1.6,2.8,14,Unclear,,,
LR-68-152,NA,76,4,Phytotron,6/1/2020,0.0159,0.0192,LR-68,0.01,0.2,0.0011,0.2,0.16,1.4,7,Unclear,,,
LR-68-154,NA,77,2,Phytotron,6/1/2020,0.0266,0.0406,LR-68,0.17,0.32,0.0142,0.27,1.42,2.7,10,Unclear,,,
LR-68-154,NA,77,3,Phytotron,6/1/2020,0.0427,0.0521,LR-68,0.26,0.55,0.0283,0.2875,2.175,3.74,13,Unclear,,,
LR-68-154,NA,77,4,Phytotron,6/1/2020,0.0649,0.092,LR-68,0.41,0.92,0.1056,0.31,1.955,16.74,54,Unclear,,,
LR-68-155,NA,78,2,Phytotron,6/1/2020,0.0268,0.0399,LR-68,0.18,0.34,0.0145,0.2167,1.2083,2.6,12,Unclear,,,
LR-68-155,NA,78,3,Phytotron,6/1/2020,0.0758,0.1166,LR-68,0.53,1.08,0.1252,0.42,2.98,17.64,42,Unclear,,,
LR-68-155,NA,78,4,Phytotron,6/1/2020,0.0676,0.1385,LR-68,0.63,0.95,0.1746,0.3923,2.8154,24.32,62,Unclear,,,
LR-68-157,NA,79,2,Phytotron,6/1/2020,0.037,0.059,LR-68,0.24,0.45,0.0257,0.2313,1.6062,3.7,16,Unclear,,,
LR-68-157,NA,79,3,Phytotron,6/1/2020,0.0686,0.1255,LR-68,0.53,0.84,0.0717,0.7,4.48,11.2,16,Unclear,,,
LR-68-157,NA,79,4,Phytotron,6/1/2020,0.0795,0.1112,LR-68,0.49,1.03,0.0792,0.61,3.96,12.2,20,Unclear,,,
LR-68-158,NA,80,2,Phytotron,6/1/2020,0.026,0.0244,LR-68,0.11,0.34,0.0067,0.3,1.1167,1.8,6,Unclear,,,
LR-68-158,NA,80,3,Phytotron,6/1/2020,0.0272,0.0264,LR-68,0.13,0.42,0.0159,0.4,2.65,2.4,6,Unclear,,,
LR-68-158,NA,80,4,Phytotron,6/1/2020,0.0272,0.0251,LR-68,0.12,0.39,0.6,0.35,1.8833,1.3,6,Unclear,,,
LR-68-159,NA,81,2,Phytotron,6/1/2020,0.0767,0.1234,LR-68,0.62,0.11,0.1541,0.69,4.97,21.39,31,Unclear,,,
LR-68-159,NA,81,3,Phytotron,6/1/2020,0.0588,0.086,LR-68,0.43,0.76,0.0543,0.39,2.47,8.58,22,Unclear,,,
LR-68-159,NA,81,4,Phytotron,6/1/2020,0.1283,0.1974,LR-68,0.91,1.49,0.1276,0.5933,3.6467,20.77,35,Unclear,,,
LR-68-161,NA,82,2,Phytotron,6/1/2020,0.0192,0.0279,LR-68,0.13,0.23,0.0157,0.1812,0.9812,2.9,16,Unclear,,,
LR-68-161,NA,82,3,Phytotron,6/1/2020,0.0568,0.0786,LR-68,0.35,0.72,0.0615,0.24,2.12,6.96,29,Unclear,,,
LR-68-161,NA,82,4,Phytotron,6/1/2020,0.0585,0.1049,LR-68,0.54,0.91,0.1085,0.37,2.41,16.65,45,Unclear,,,
LR-68-162,NA,83,2,Phytotron,6/1/2020,0.0245,0.031,LR-68,0.14,0.33,0.0168,0.2833,1.4,3.4,12,Unclear,,,
LR-68-162,NA,83,3,Phytotron,6/1/2020,0.0147,0.0267,LR-68,0.14,0.24,0.0184,0.1,0.7083,2.6,26,Unclear,,,
LR-68-162,NA,83,4,Phytotron,6/1/2020,0.1385,0.2788,LR-68,1.23,1.86,0.1788,0.8545,5.5864,27.35,32,Unclear,,,
LR-68-163,NA,84,2,Phytotron,6/1/2020,0.019,0.0291,LR-68,0.14,0.25,0.0064,0.3667,1.0667,2.2,6,Unclear,,,
LR-68-163,NA,84,3,Phytotron,6/1/2020,0.0563,0.102,LR-68,0.47,0.75,0.0771,0.3167,2.1417,11.4,36,Unclear,,,
LR-68-163,NA,84,4,Phytotron,6/1/2020,0.0515,0.0542,LR-68,0.24,0.6,0.0291,0.3643,2.0786,5.1,14,Unclear,,,
LR-68-165,NA,85,2,Phytotron,6/1/2020,0.0405,0.0572,LR-68,0.24,0.5,0.0185,0.2143,1.3214,3,14,Unclear,,,
LR-68-165,NA,85,3,Phytotron,6/1/2020,0.0636,0.089,LR-68,0.37,0.9,0.0657,0.2214,1.5643,9.3,42,Unclear,,,
LR-68-165,NA,85,4,Phytotron,6/1/2020,0.0786,0.0942,LR-68,0.44,1,0.0515,0.16,1.145,7.2,45,Unclear,,,
LR-68-166,NA,86,2,Phytotron,6/1/2020,0.0026,0.02,LR-68,0.09,0.14,0.036,0.24,0.9,9.6,40,Unclear,,,
LR-68-166,NA,86,3,Phytotron,6/1/2020,0.0189,0.529,LR-68,0.25,0.58,0.0386,0.78,0.92,32.76,42,Unclear,,,
LR-68-166,NA,86,4,Phytotron,6/1/2020,0.0907,0.1192,LR-68,0.51,1.19,0.0797,0.2769,1.8115,12.18,44,Unclear,,,
LR-68-167,NA,87,2,Phytotron,6/1/2020,0.03,0.051,LR-68,0.2,0.35,0.0114,0.27,1.14,2.7,10,Unclear,,,
LR-68-167,NA,87,3,Phytotron,6/1/2020,0.0595,0.1132,LR-68,0.53,0.69,0.0622,0.2583,2.075,7.75,30,Unclear,,,
LR-68-167,NA,87,4,Phytotron,6/1/2020,0.0995,0.1866,LR-68,0.85,1.14,0.0742,0.42,2.65,11.76,28,Unclear,,,
LR-68-168,NA,88,2,Phytotron,6/1/2020,0.0313,0.0455,LR-68,0.19,0.4,0.0199,0.2125,1.2438,3.4,16,Unclear,,,
LR-68-168,NA,88,3,Phytotron,6/1/2020,0.0363,0.043,LR-68,0.18,0.47,0.0276,0.34,2.3,4.08,12,Unclear,,,
LR-68-168,NA,88,4,Phytotron,6/1/2020,0.0325,0.0269,LR-68,0.14,0.51,0.0292,0.1533,0.9733,4.6,30,Unclear,,,
LR-68-169,NA,89,2,Phytotron,6/1/2020,0.0242,0.0334,LR-68,0.14,0.32,0.0144,0.175,1.2,2.1,12,Unclear,,,
LR-68-169,NA,89,3,Phytotron,6/1/2020,0.0396,0.0456,LR-68,0.2,0.52,0.027,0.3125,2.075,4.06,13,Unclear,,,
LR-68-169,NA,89,4,Phytotron,6/1/2020,0.0721,0.124,LR-68,0.57,1,0.0749,0.324,1.972,12.31,38,Unclear,,,
LR-68-170,NA,90,2,Phytotron,6/1/2020,0.0361,0.0502,LR-68,0.21,0.43,0.028,0.21,1.4,4.2,20,Unclear,,,
LR-68-170,NA,90,3,Phytotron,6/1/2020,0.0682,0.0817,LR-68,0.37,0.81,0.0381,0.4,2.725,5.6,14,Unclear,,,
LR-68-170,NA,90,4,Phytotron,6/1/2020,0.0996,0.1227,LR-68,0.55,1.14,0.0784,0.4792,3.2667,11.5,24,Unclear,,,
LR-68-171,NA,91,2,Phytotron,6/1/2020,0.0226,0.0334,LR-68,0.15,0.29,0.0204,0.1778,1.1333,3.2,18,Unclear,,,
LR-68-171,NA,91,3,Phytotron,6/1/2020,0.0437,0.057,LR-68,0.27,0.53,0.0504,0.2583,1.575,8.27,32,Unclear,,,
LR-68-171,NA,91,4,Phytotron,6/1/2020,0.0655,0.091,LR-68,0.49,0.85,0.0812,0.4625,3.0063,12.49,27,Unclear,,,
LR-68-172,NA,92,2,Phytotron,6/1/2020,0.0382,0.0373,LR-68,0.18,0.52,0.0127,0.2091,1.1545,2.3,11,Unclear,,,
LR-68-172,NA,92,3,Phytotron,6/1/2020,0.074,0.0807,LR-68,0.39,0.91,0.0403,0.3118,2.3706,5.3,17,Unclear,,,
LR-68-172,NA,92,4,Phytotron,6/1/2020,0.1196,0.129,LR-68,0.63,1.53,0.1107,0.3182,2.05,17.18,54,Unclear,,,
LR-68-173,NA,93,2,Phytotron,6/1/2020,0.0379,0.04,LR-68,0.2,0.53,0.0155,0.1846,1.1923,2.4,13,Unclear,,,
LR-68-173,NA,93,3,Phytotron,6/1/2020,0.0395,0.0526,LR-68,0.23,0.57,0.0302,0.3125,1.775,5.31,17,Unclear,,,
LR-68-173,NA,93,4,Phytotron,6/1/2020,0.0672,0.0861,LR-68,0.39,0.9,0.0951,0.33,2.265,13.86,42,Unclear,,,
LR-68-175,NA,94,2,Phytotron,6/1/2020,0.0494,0.0395,LR-68,0.19,0.68,0.0142,0.1769,1.0923,2.3,13,Unclear,,,
LR-68-175,NA,94,3,Phytotron,6/1/2020,0.0478,0.063,LR-68,0.35,0.64,0.0372,0.24,1.69,5.28,22,Unclear,,,
LR-68-175,NA,94,4,Phytotron,6/1/2020,0.1003,0.161,LR-68,0.64,1.27,0.1071,0.3727,2.3273,17.15,46,Unclear,,,
LR-68-176,NA,95,2,Phytotron,6/1/2020,0.0392,0.043,LR-68,0.21,0.56,0.022,0.2,1.8333,2.4,12,Unclear,,,
LR-68-176,NA,95,3,Phytotron,6/1/2020,0.0848,0.0942,LR-68,0.45,1.03,0.0536,0.3429,2.3286,7.89,23,Unclear,,,
